Jul 07 2017 01: +0,1.025,74
Jul 08 2017 01: +0,1.039,192
Jul 09 2017 01: +0,0.977,82
Jul 10 2017 01: +0,1.023,73
Jul 11 2017 01: +0,0.937,68
Jul 12 2017 01: +0,1.018,61
Jul 13 2017 01: +0,1.026,72
Jul 14 2017 01: +0,1.049,43
Jul 15 2017 01: +0,1.001,75
Jul 16 2017 01: +0,1.02,80
Jul 17 2017 01: +0,0.755,65
Jul 18 2017 01: +0,0.741,72
Jul 19 2017 01: +0,0.652,125
Jul 20 2017 01: +0,0.259,1537
Jul 21 2017 01: +0,0.321,546
Jul 22 2017 01: +0,0.321,624
Jul 23 2017 01: +0,0.261,4269
Jul 24 2017 01: +0,0.235,1352
Jul 25 2017 01: +0,0.257,890
Jul 26 2017 01: +0,0.258,489
Jul 27 2017 01: +0,0.251,343
Jul 28 2017 01: +0,0.243,357
Jul 29 2017 01: +0,0.247,389
Jul 30 2017 01: +0,0.235,281
Jul 31 2017 01: +0,0.219,348
Aug 01 2017 01: +0,0.214,379
Aug 02 2017 01: +0,0.216,409
Aug 03 2017 01: +0,0.209,403
Aug 04 2017 01: +0,0.198,369
Aug 05 2017 01: +0,0.195,385
Aug 06 2017 01: +0,0.2,371
Aug 07 2017 01: +0,0.192,365
Aug 08 2017 01: +0,0.189,268
Aug 09 2017 01: +0,0.186,309
Aug 10 2017 01: +0,0.187,341
Aug 11 2017 01: +0,0.192,297
Aug 12 2017 01: +0,0.184,279
Aug 13 2017 01: +0,0.172,346
Aug 14 2017 01: +0,0.18,258
Aug 15 2017 01: +0,0.175,232
Aug 16 2017 01: +0,0.171,278
Aug 17 2017 01: +0,0.177,465
Aug 18 2017 01: +0,0.205,329
Aug 19 2017 01: +0,0.19,277
Aug 20 2017 01: +0,0.189,293
Aug 21 2017 01: +0,0.189,240
Aug 22 2017 01: +0,0.189,281
Aug 23 2017 01: +0,0.196,198
Aug 24 2017 01: +0,0.191,210
Aug 25 2017 01: +0,0.194,205
Aug 26 2017 01: +0,0.199,215
Aug 27 2017 01: +0,0.201,198
Aug 28 2017 01: +0,0.202,212
Aug 29 2017 01: +0,0.195,196
Aug 30 2017 01: +0,0.202,169
Aug 31 2017 01: +0,0.193,153
Sep 01 2017 01: +0,0.192,229
Sep 02 2017 01: +0,0.201,208
Sep 03 2017 01: +0,0.204,192
Sep 04 2017 01: +0,0.207,173
Sep 05 2017 01: +0,0.214,145
Sep 06 2017 01: +0,0.201,160
Sep 07 2017 01: +0,0.209,144
Sep 08 2017 01: +0,0.211,159
Sep 09 2017 01: +0,0.222,192
Sep 10 2017 01: +0,0.222,126
Sep 11 2017 01: +0,0.225,154
Sep 12 2017 01: +0,0.221,88
Sep 13 2017 01: +0,0.208,141
Sep 14 2017 01: +0,0.213,119
Sep 15 2017 01: +0,0.213,170
Sep 16 2017 01: +0,0.222,234
Sep 17 2017 01: +0,0.22,201
Sep 18 2017 01: +0,0.213,151
Sep 19 2017 01: +0,0.209,182
Sep 20 2017 01: +0,0.219,119
Sep 21 2017 01: +0,0.211,124
Sep 22 2017 01: +0,0.211,134
Sep 23 2017 01: +0,0.217,189
Sep 24 2017 01: +0,0.217,158
Sep 25 2017 01: +0,0.225,95
Sep 26 2017 01: +0,0.223,108
Sep 27 2017 01: +0,0.219,91
Sep 28 2017 01: +0,0.217,97
Sep 29 2017 01: +0,0.21,108
Sep 30 2017 01: +0,0.199,168
Oct 01 2017 01: +0,0.201,195
Oct 02 2017 01: +0,0.212,152
Oct 03 2017 01: +0,0.211,124
Oct 04 2017 01: +0,0.217,151
Oct 05 2017 01: +0,0.214,167
Oct 06 2017 01: +0,0.219,102
Oct 07 2017 01: +0,0.216,186
Oct 08 2017 01: +0,0.226,149
Oct 09 2017 01: +0,0.223,83
Oct 10 2017 01: +0,0.211,88
Oct 11 2017 01: +0,0.21,100
Oct 12 2017 01: +0,0.203,163
Oct 13 2017 01: +0,0.208,154
Oct 14 2017 01: +0,0.213,160
Oct 15 2017 01: +0,0.207,119
Oct 16 2017 01: +0,0.217,109
Oct 17 2017 01: +0,0.218,79
Oct 18 2017 01: +0,0.21,90
Oct 19 2017 01: +0,0.208,97
Oct 20 2017 01: +0,0.21,109
Oct 21 2017 01: +0,0.205,140
Oct 22 2017 01: +0,0.205,150
Oct 23 2017 01: +0,0.199,120
Oct 24 2017 01: +0,0.206,82
Oct 25 2017 01: +0,0.204,80
Oct 26 2017 01: +0,0.201,113
Oct 27 2017 01: +0,0.2,91
Oct 28 2017 01: +0,0.199,133
Oct 29 2017 01: +0,0.194,104
Oct 30 2017 01: +0,0.192,100
Oct 31 2017 01: +0,0.197,105
Nov 01 2017 01: +0,0.196,90
Nov 02 2017 01: +0,0.194,74
Nov 03 2017 01: +0,0.193,125
Nov 04 2017 01: +0,0.192,115
Nov 05 2017 01: +0,0.191,149
Nov 06 2017 01: +0,0.201,115
Nov 07 2017 01: +0,0.2,50
Nov 08 2017 01: +0,0.19,74
Nov 09 2017 01: +0,0.19,100
Nov 10 2017 01: +0,0.191,88
Nov 11 2017 01: +0,0.188,133
Nov 12 2017 01: +0,0.186,106
Nov 13 2017 01: +0,0.188,88
Nov 14 2017 01: +0,0.175,69
Nov 15 2017 01: +0,0.177,97
Nov 16 2017 01: +0,0.177,77
Nov 17 2017 01: +0,0.165,184
Nov 18 2017 01: +0,0.169,219
Nov 19 2017 01: +0,0.174,162
Nov 20 2017 01: +0,0.174,151
Nov 21 2017 01: +0,0.174,119
Nov 22 2017 01: +0,0.173,107
Nov 23 2017 01: +0,0.166,67
Nov 24 2017 01: +0,0.171,110
Nov 25 2017 01: +0,0.169,221
Nov 26 2017 01: +0,0.172,109
Nov 27 2017 01: +0,0.176,90
Nov 28 2017 01: +0,0.177,112
Nov 29 2017 01: +0,0.178,74
Nov 30 2017 01: +0,0.172,99
Dec 01 2017 01: +0,0.169,173
Dec 02 2017 01: +0,0.176,173
Dec 03 2017 01: +0,0.178,149
Dec 04 2017 01: +0,0.177,116
Dec 05 2017 01: +0,0.176,130
Dec 06 2017 01: +0,0.177,123
Dec 07 2017 01: +0,0.17,164
Dec 08 2017 01: +0,0.168,181
Dec 09 2017 01: +0,0.169,210
Dec 10 2017 01: +0,0.17,164
Dec 11 2017 01: +0,0.168,128
Dec 12 2017 01: +0,0.166,123
Dec 13 2017 01: +0,0.171,124
Dec 14 2017 01: +0,0.165,86
Dec 15 2017 01: +0,0.158,194
Dec 16 2017 01: +0,0.161,127
Dec 17 2017 01: +0,0.164,111
Dec 18 2017 01: +0,0.161,139
Dec 19 2017 01: +0,0.159,113
Dec 20 2017 01: +0,0.152,92
Dec 21 2017 01: +0,0.144,150
Dec 22 2017 01: +0,0.15,206
Dec 23 2017 01: +0,0.154,147
Dec 24 2017 01: +0,0.159,143
Dec 25 2017 01: +0,0.157,174
Dec 26 2017 01: +0,0.153,162
Dec 27 2017 01: +0,0.154,138
Dec 28 2017 01: +0,0.16,132
Dec 29 2017 01: +0,0.159,152
Dec 30 2017 01: +0,0.161,137
Dec 31 2017 01: +0,0.158,143
Jan 01 2018 01: +0,0.161,147
Jan 02 2018 01: +0,0.161,179
Jan 03 2018 01: +0,0.163,134
Jan 04 2018 01: +0,0.164,164
Jan 05 2018 01: +0,0.164,112
Jan 06 2018 01: +0,0.164,167
Jan 07 2018 01: +0,0.163,166
Jan 08 2018 01: +0,0.166,153
Jan 09 2018 01: +0,0.164,117
Jan 10 2018 01: +0,0.162,113
Jan 11 2018 01: +0,0.163,135
Jan 12 2018 01: +0,0.167,120
Jan 13 2018 01: +0,0.171,161
Jan 14 2018 01: +0,0.178,132
Jan 15 2018 01: +0,0.178,105
Jan 16 2018 01: +0,0.182,87
Jan 17 2018 01: +0,0.189,86
Jan 18 2018 01: +0,0.187,60
Jan 19 2018 01: +0,0.189,59
Jan 20 2018 01: +0,0.192,87
Jan 21 2018 01: +0,0.19,100
Jan 22 2018 01: +0,0.189,97
Jan 23 2018 01: +0,0.183,89
Jan 24 2018 01: +0,0.182,92
Jan 25 2018 01: +0,0.186,81
Jan 26 2018 01: +0,0.179,69
Jan 27 2018 01: +0,0.152,93
Jan 28 2018 01: +0,0.15,102
Jan 29 2018 01: +0,0.15,78
Jan 30 2018 01: +0,0.159,53
Jan 31 2018 01: +0,0.153,144
Feb 01 2018 01: +0,0.155,80
Feb 02 2018 01: +0,0.158,64
Feb 03 2018 01: +0,0.156,78
Feb 04 2018 01: +0,0.162,52
Feb 05 2018 01: +0,0.172,33
Feb 06 2018 01: +0,0.165,34
Feb 07 2018 01: +0,0.167,50
Feb 08 2018 01: +0,0.17,29
Feb 09 2018 01: +0,0.177,55
Feb 10 2018 01: +0,0.173,31
Feb 11 2018 01: +0,0.177,36
Feb 12 2018 01: +0,0.17,32
Feb 13 2018 01: +0,0.165,20
Feb 14 2018 01: +0,0.172,37
Feb 15 2018 01: +0,0.168,49
Feb 16 2018 01: +0,0.162,46
Feb 17 2018 01: +0,0.155,48
Feb 18 2018 01: +0,0.148,94
Feb 19 2018 01: +0,0.162,52
Feb 20 2018 01: +0,0.172,35
Feb 21 2018 01: +0,0.176,47
Feb 22 2018 01: +0,0.175,60
Feb 23 2018 01: +0,0.175,63
Feb 24 2018 01: +0,0.175,62
Feb 25 2018 01: +0,0.182,61
Feb 26 2018 01: +0,0.177,37
Feb 27 2018 01: +0,0.173,30
Feb 28 2018 01: +0,0.172,47
Mar 01 2018 01: +0,0.171,52
Mar 02 2018 01: +0,0.174,62
Mar 03 2018 01: +0,0.178,63
Mar 04 2018 01: +0,0.18,52
Mar 05 2018 01: +0,0.182,47
Mar 06 2018 01: +0,0.173,47
Mar 07 2018 01: +0,0.179,34
Mar 08 2018 01: +0,0.181,63
Mar 09 2018 01: +0,0.189,42
Mar 10 2018 01: +0,0.187,66
Mar 11 2018 01: +0,0.19,61
Mar 12 2018 01: +0,0.178,43
Mar 13 2018 01: +0,0.187,29
Mar 14 2018 01: +0,0.187,36
Mar 15 2018 01: +0,0.186,37
Mar 16 2018 01: +0,0.19,57
Mar 17 2018 01: +0,0.19,41
Mar 18 2018 01: +0,0.197,45
Mar 19 2018 01: +0,0.184,47
Mar 20 2018 01: +0,0.187,48
Mar 21 2018 01: +0,0.188,38
Mar 22 2018 01: +0,0.19,49
Mar 23 2018 01: +0,0.181,35
Mar 24 2018 01: +0,0.179,68
Mar 25 2018 01: +0,0.179,67
Mar 26 2018 01: +0,0.181,40
Mar 27 2018 01: +0,0.177,70
Mar 28 2018 01: +0,0.174,34
Mar 29 2018 01: +0,0.178,55
Mar 30 2018 01: +0,0.163,84
Mar 31 2018 01: +0,0.163,59
Apr 01 2018 01: +0,0.178,69
Apr 02 2018 01: +0,0.179,55
Apr 03 2018 01: +0,0.2,48
Apr 04 2018 01: +0,0.198,37
Apr 05 2018 01: +0,0.187,26
Apr 06 2018 01: +0,0.2,44
Apr 07 2018 01: +0,0.196,53
Apr 08 2018 01: +0,0.183,58
Apr 09 2018 01: +0,0.19,42
Apr 10 2018 01: +0,0.189,39
Apr 11 2018 01: +0,0.181,40
Apr 12 2018 01: +0,0.185,35
Apr 13 2018 01: +0,0.192,37
Apr 14 2018 01: +0,0.195,63
Apr 15 2018 01: +0,0.193,39
Apr 16 2018 01: +0,0.18,31
Apr 17 2018 01: +0,0.181,47
Apr 18 2018 01: +0,0.195,36
Apr 19 2018 01: +0,0.195,39
Apr 20 2018 01: +0,0.197,42
Apr 21 2018 01: +0,0.193,49
Apr 22 2018 01: +0,0.19,45
Apr 23 2018 01: +0,0.179,33
Apr 24 2018 01: +0,0.18,42
Apr 25 2018 01: +0,0.193,75
Apr 26 2018 01: +0,0.193,49
Apr 27 2018 01: +0,0.191,60
Apr 28 2018 01: +0,0.198,108
Apr 29 2018 01: +0,0.199,58
Apr 30 2018 01: +0,0.186,28
May 01 2018 01: +0,0.2,72
May 02 2018 01: +0,0.209,38
May 03 2018 01: +0,0.207,27
May 04 2018 01: +0,0.216,43
May 05 2018 01: +0,0.209,38
May 06 2018 01: +0,0.223,40
May 07 2018 01: +0,0.222,17
May 08 2018 01: +0,0.22,18
May 09 2018 01: +0,0.201,18
May 10 2018 01: +0,0.203,44
May 11 2018 01: +0,0.211,26
May 12 2018 01: +0,0.209,43
May 13 2018 01: +0,0.209,42
May 14 2018 01: +0,0.206,22
May 15 2018 01: +0,0.209,27
May 16 2018 01: +0,0.212,22
May 17 2018 01: +0,0.22,22
May 18 2018 01: +0,0.225,30
May 19 2018 01: +0,0.22,31
May 20 2018 01: +0,0.215,21
May 21 2018 01: +0,0.208,37
May 22 2018 01: +0,0.211,16
May 23 2018 01: +0,0.201,29
May 24 2018 01: +0,0.203,27
May 25 2018 01: +0,0.195,39
May 26 2018 01: +0,0.197,32
May 27 2018 01: +0,0.194,36
May 28 2018 01: +0,0.203,28
May 29 2018 01: +0,0.205,20
May 30 2018 01: +0,0.193,32
May 31 2018 01: +0,0.195,34
Jun 01 2018 01: +0,0.197,25
Jun 02 2018 01: +0,0.196,53
Jun 03 2018 01: +0,0.199,31
Jun 04 2018 01: +0,0.184,21
Jun 05 2018 01: +0,0.19,40
Jun 06 2018 01: +0,0.196,21
Jun 07 2018 01: +0,0.186,35
Jun 08 2018 01: +0,0.176,36
Jun 09 2018 01: +0,0.182,28
Jun 10 2018 01: +0,0.178,55
Jun 11 2018 01: +0,0.177,41
Jun 12 2018 01: +0,0.178,40
Jun 13 2018 01: +0,0.177,30
Jun 14 2018 01: +0,0.175,34
Jun 15 2018 01: +0,0.182,24
Jun 16 2018 01: +0,0.181,22
Jun 17 2018 01: +0,0.187,35
Jun 18 2018 01: +0,0.187,41
Jun 19 2018 01: +0,0.188,25
Jun 20 2018 01: +0,0.183,24
Jun 21 2018 01: +0,0.172,30
Jun 22 2018 01: +0,0.168,36
Jun 23 2018 01: +0,0.168,30
Jun 24 2018 01: +0,0.165,35
Jun 25 2018 01: +0,0.168,34
Jun 26 2018 01: +0,0.17,23
Jun 27 2018 01: +0,0.165,29
Jun 28 2018 01: +0,0.16,30
Jun 29 2018 01: +0,0.173,39
Jun 30 2018 01: +0,0.172,22
Jul 01 2018 01: +0,0.173,34
Jul 02 2018 01: +0,0.17,45
Jul 03 2018 01: +0,0.177,39
Jul 04 2018 01: +0,0.185,35
Jul 05 2018 01: +0,0.177,44
Jul 06 2018 01: +0,0.185,36
Jul 07 2018 01: +0,0.188,30
Jul 08 2018 01: +0,0.185,28
Jul 09 2018 01: +0,0.187,42
Jul 10 2018 01: +0,0.191,57
Jul 11 2018 01: +0,0.198,41
Jul 12 2018 01: +0,0.2,25
Jul 13 2018 01: +0,0.194,35
Jul 14 2018 01: +0,0.2,40
Jul 15 2018 01: +0,0.199,37
Jul 16 2018 01: +0,0.201,40
Jul 17 2018 01: +0,0.205,36
Jul 18 2018 01: +0,0.207,21
Jul 19 2018 01: +0,0.205,30
Jul 20 2018 01: +0,0.203,16
Jul 21 2018 01: +0,0.189,30
Jul 22 2018 01: +0,0.188,43
Jul 23 2018 01: +0,0.193,28
Jul 24 2018 01: +0,0.199,36
Jul 25 2018 01: +0,0.198,35
Jul 26 2018 01: +0,0.195,30
Jul 27 2018 01: +0,0.209,28
Jul 28 2018 01: +0,0.199,16
Jul 29 2018 01: +0,0.19,19
Jul 30 2018 01: +0,0.208,18
Jul 31 2018 01: +0,0.207,20
Aug 01 2018 01: +0,0.202,38
Aug 02 2018 01: +0,0.204,19
Aug 03 2018 01: +0,0.196,35
Aug 04 2018 01: +0,0.205,33
Aug 05 2018 01: +0,0.197,32
Aug 06 2018 01: +0,0.2,37
Aug 07 2018 01: +0,0.199,54
Aug 08 2018 01: +0,0.205,18
Aug 09 2018 01: +0,0.206,34
Aug 10 2018 01: +0,0.206,56
Aug 11 2018 01: +0,0.207,48
Aug 12 2018 01: +0,0.21,38
Aug 13 2018 01: +0,0.202,39
Aug 14 2018 01: +0,0.209,28
Aug 15 2018 01: +0,0.211,48
Aug 16 2018 01: +0,0.206,37
Aug 17 2018 01: +0,0.207,33
